#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:15:26","","16","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:15:26","","16","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:15:37","","49","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:15:37","","49","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:15:37","","17","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:15:38","","17","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:15:38","","17","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:15:49","","50","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:15:49","","50","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:15:49","","18","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:15:50","","18","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:15:50","","18","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:16:01","","51","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:16:01","","51","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:16:01","","19","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:16:02","","19","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:16:02","","19","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:16:13","","52","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:16:13","","52","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:16:13","","20","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:16:14","","20","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:16:14","","20","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:16:25","","53","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:16:25","","53","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:16:25","","21","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:16:26","","21","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:16:26","","21","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:16:37","","54","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:16:37","","54","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:16:37","","22","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:16:38","","22","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:16:38","","22","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:16:49","","55","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:16:49","","55","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:16:49","","23","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:16:50","","23","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:16:50","","23","2025-07-17 15:13:14"
"1","OLA","IP: 212.247.217.152 - AS1257 Tele2 Sverige AB","C-ORT - OLA Server 2 - OL","40","2025-07-17 15:17:01","","56","2025-07-17 15:06:55"
"2","icmp","10.20.10.21","SSW11 - KIOSK 1","40","2025-07-17 15:17:01","","56","2025-07-17 15:06:55"
"6","icmp","192.168.11.13","OLA Server Master - Arena","40","2025-07-17 15:17:01","","24","2025-07-17 15:13:13"
"11","icmp","10.0.0.1","3 - SSW11 - AP","40","2025-07-17 15:17:02","","24","2025-07-17 15:13:13"
"13","icmp","10.20.10.12","SSW02 - Switch Verifiering 1","40","2025-07-17 15:17:02","","24","2025-07-17 15:13:14"
